번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
36,공시-3-2-033,활인산(토양미생물제제),작물생육용,농업회사법인 흙살림바이오(주),303-81-24778,2024.09.13 ~ 2027.09.12,국립순천대학교 산학협력단,○ 직사광선을 피하여 건조하고 서늘한 곳에 보관하십시오. ○ 개봉한 제품은 가급적 빠른 시일 내에 사용하십시오. ○ 미생물 비료이므로 어린이 등이 만지거나 먹지 않도록 하시오,2008.07.07,"8,000/1L, 35,000/10L",- 주성분: Lactobacillus fermentum 1.0*10^6 cfu/ml 이상,Lactobacillus fermentum,제 충북 괴산03-가-20301 호,043-215-8179,표시,비료등록,토양미생물제제 비료등록제품,충청북도 괴산군 불정면 한불로 1136
39,공시-2-4-071,대유닥터푸란트(규조토+미생물),병해관리용,㈜대유,515-81-00326,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,"- 직사광선을 피하고 서늘하고 어두운 곳에 보관하십시오. - 살아있는 미생물제제이므로 0~10℃, 습도 50% 이하에서 보관하는 것이 가장 좋으며 최소한 0~20℃, 습도 50% 이하에서 보관하여야 합니다. - 장기간 보관 시 냉암소에 보관하십시오. - 먹거나 마시지 마십시오.",2008.07.07,"5,000원/40g, 19,000원/500g, 35,000원/1kg","*주성분의 종류 및 함량: 규산전량, Bacillus subtilis *책임보험정보: ㈜KB손해보험_2024-0139808(000)",Bacillus subtilis,없음,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
40,공시-2-4-070,대유마이킹(미생물),병해관리용,㈜대유,515-81-00326,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,"- 직사광선을 피하고 서늘하고 어두운 곳에 보관하십시오. - 살아있는 미생물제제이므로 0~10℃, 습도 50% 이하에서 보관하는 것이 가장 좋으며 최소한 0~20℃, 습도 50% 이하에서 보관하여야 합니다. - 장기간 보관 시 냉암소에 보관하십시오. - 먹거나 마시지 마십시오.",2008.07.07,"11,000원/250mL, 19,000원/500mL, 35,000원/1L",*주성분의 종류 및 함량: Streptomyces griseofuscus *책임보험정보: ㈜KB손해보험_2024-0139808(000),Streptomyces griseofuscus,없음,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
42,공시-2-5-096,충사냥(미생물),충해관리용,㈜씨엠씨코리아,314-86-08225,2024.10.15 ~ 2027.10.14,강원대학교 산학협력단,- 냉암소에 보관하십시오. - 강알카리성 제제와 혼용하지 마십시오. - 미생물제제이므로 살균제와 혼용하여 사용하지 마십시오. - 어린이나 판단이 불분명한 사람의 손에 닿지 않게 보관하십시오.,2008.09.26,"15,000원/100g, 20,000원/2kg",*주성분의 종류 및 함량: Bacillus thuringiensis *책임보험정보: 삼성화재해상보험㈜_82306777246000,Bacillus thuringiensis,없음,042-671-3378~9,미표시,없음,,대전광역시 유성구 국제과학7로 6 (신동)
43,공시-2-5-107,대유에코사이드(규조토+미생물),충해관리용,㈜대유,515-81-00326,2025.01.16 ~ 2028.01.15,강원대학교 산학협력단,"- 섭식이 가장 활발할 때 가해 잎 부위에 골고루 묻도록 뿌리십시오. - 이른 아침 또는 오후 늦게 살포하여야 효과적이며, 햇빛이 강할 때 또는 기온이 높을 때에는 사용을 피해주십시오. - 누에에는 장기간 독성이 있으니 뽕나무 주위에서는 사용하지 마시고 약제가 누에나 잠구에 묻지 않도록 주의하십시오. - 한 번 사용하고 남은 제품은 가급적 빨리 사용하고 부득이한 경우 밀봉하여 보관하십시오. - 직사광선을 피하고 서늘하고 건조한 곳에 보관하십시오. - 살아있는 미생물제제이므로 0~15℃, 습도 50% 이하에서 보관하는 것이 가장 좋으며 장기간 보관 시에는 냉암소에서 보관하여야 합니다.",2008.09.26,"16,000원/100g, 30,000원/250g","*주성분의 종류 및 함량: 규산전량 30%, Bacillus thuringiensis 1.0×10^8 cfu/g *책임보험정보: ㈜KB손해보험_2024-0139808(000)",Bacillus thuringiensis,없음,02-556-6293(043-834-3012),표시,,적용대상 작물명 및 효과: 배추(배추좀나방) / 무처리구 대비 50% 이상 방제,충청북도 괴산군 괴산읍 대제산단1길 12
56,공시-2-5-122,어그리(미생물),충해관리용,㈜유피엘리미티드코리아,303-81-24308,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"- 본 자재는 생균제이므로 직사광선을 피하고 냉, 건조한 장소에 보관하십시오. - 개봉 후 가급적 빠른 시간 내에 사용하시고 부득이한 경우 밀봉하여 냉장 보관하여 주십시오. - 동물이나 사람이 먹지 않도록 주의하십시오.",2009.04.15,"30,000원/250g",*주성분의 종류 및 함량: Bacillus thuringiensis 1.0×10^7 cfu/g *책임보험정보: 삼성화재해상보험㈜_82403813955000,Bacillus thuringiensis,없음,043-852-8095,표시,,"적용대상 작물명 및 효과: 인삼(도둑나방), 양버즘나무(미국흰불나방) / 무처리구 대비 50% 이상 방제",충청북도 충주시 풍동동막길 110 (가주동)
61,공시-2-4-113,흙향(미생물),병해관리용,㈜비아이지,314-81-33374,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,- 사용량을 준수하여 사용하십시오. - 냉암소에 보관하십시오. - 특수한 재배환경일 경우 시험 후 사용하십시오. - 토양에 골고루 혼화하십시오. - 본 제품은 먹을 수 없습니다.,2009.07.15,"35,000원/10kg, 67,000원/20kg",*주성분의 종류 및 함량: Streptomyces griseus *책임보험정보: 삼성화재해상보험㈜_82504876683000,Streptomyces griseus,없음,042-934-8154,미표시,없음,,대전광역시 유성구 테크노3로 77-2 (관평동)
63,공시-2-3-065,바이코나 1호골드(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,301-39-62646,2023.10.10 ~ 2026.10.09,강원대학교 산학협력단,- 건조한 냉암소에 보관하십시오. - 타 제품과의 혼용을 피하십시오. - 햇볕이 너무 강한 시간대에 살포를 피하십시오. - 개봉 후에는 가능한 모두 사용하십시오.,2009.10.15,"10,000원/1kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^7 cfu/g,Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,표시,비료등록,비료등록제품,충청북도 청주시 청원구 북이면 용계내추로 297-11
64,공시-2-4-030,팜월드(미생물추출물),병해관리용,㈜경농,214-81-08779,2023.10.10 ~ 2026.10.09,강원대학교 산학협력단,"- 사용농도를 준수하고 작물에 골고루 뿌려주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 ㈜경농에 확인하시기 바랍니다. - 전착제 또는 전착제 성분이 함유된 제품과는 혼용하지 마십시오. - 기타 자재와의 근접 살포를 피하여 주십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오. - 어린이 및 노약자 손에 닿지 않게 보관하십시오. - 이 유기농업자재는 피부자극성이 있으므로 고무장갑, 방제복, 마스크, 보안경을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2009.10.15,"16,000원/200mL, 35,000원/500mL",*주성분의 종류 및 함량: Lipopolysaccharides 1.4% *책임보험정보: DB손해보험㈜_120230597435,Lipopolysaccharides sp.,없음,02-3488-5922(031-642-5941),표시,,적용대상 작물명 및 효과: 오이(누른모자이크병) / 무처리구 대비 50% 이상 방제,경기도 이천시 설성면 진상미로 512
65,공시-2-4-031,월드스타에코(미생물추출물),병해관리용,㈜경농,214-81-08779,2023.10.10 ~ 2026.10.09,강원대학교 산학협력단,"- 사용농도를 준수하고 작물에 골고루 뿌려주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 ㈜경농에 확인하시기 바랍니다. - 전착제 또는 전착제 성분이 함유된 제품과는 혼용하지 마십시오. - 기타 자재와의 근접 살포를 피하여 주십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오. - 어린이 및 노약자 손에 닿지 않게 보관하십시오. - 이 유기농업자재는 피부자극성이 있으므로 고무장갑, 방제복, 마스크, 보안경을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2009.10.15,"14,000원/200mL, 35,000원/500mL",*주성분의 종류 및 함량: Lipopolysaccharides *책임보험정보: DB손해보험㈜_120230597435,Lipopolysaccharides sp.,없음,02-3488-5922(031-642-5941),미표시,없음,,경기도 이천시 설성면 진상미로 512
67,공시-2-5-053,에코윈-에스(S)(천적),충해관리용,㈜에코윈,503-81-81554,2023.10.10 ~ 2026.10.09,강원대학교 산학협력단,- 제품을 개봉 후 스폰지를 물에 담그고 선충이 스폰지에 나오도록 충분히 짜주십시오. - 이른 아침이나 해진 후에 살포하여 주십시오. - 제품 살포 전 작물체에 물을 뿌려주면 좋습니다. - 잎의 앞뒤로 꼼꼼히 살포하십시오. - 희석 시 침전물이 생기지 않도록 완전히 풀어서 사용하십시오. - 대부분 농자재와 혼용이 가능하나 혼용 시 본사로 별도문의 바랍니다. - 어린이의 손이 닿지 않는 곳에 보관하시고 절대 먹지하지 마십시오.,2009.10.15,"25,000원/100g",*주성분의 종류 및 함량: Steinernema carpocapsae 2.0×10^7 마리 *책임보험정보: 대한상공회의소_201501-014,Steinernema carpocapsae,없음,053-582-0321,표시,,적용대상 작물명 및 효과: 딸기(작은뿌리파리) / 무처리구 대비 50% 이상 방제,대구광역시 달성군 유가읍 테크노중앙대로2길 18
77,공시-2-4-039,제균탄(미생물),병해관리용,㈜씨엠씨코리아,314-86-08225,2023.12.27 ~ 2026.12.26,강원대학교 산학협력단,"- 생물 소재이므로 냉암소에 보관하십시오. - 기후, 포장 조건에 따라 효과의 차이가 있을 수 있습니다. - 고온기나 햇빛이 강할 시에는 살포를 피하십시오. - 어린이 손에 닿지 않게 보관하시고 먹지 마십시오. - 이 제품은 수도작 전용 제품입니다.",2010.01.15,"20,000원/1L",*주성분의 종류 및 함량: Streptomyces lavendulae *책임보험정보: 삼성화재해상보험㈜_82306777246000,Streptomyces lavendulae,없음,042-671-3378~9,미표시,없음,,대전광역시 유성구 국제과학7로 6 (신동)
83,공시-2-3-137,바이코나 2호골드(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,301-39-62646,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,- 건조한 냉암소에 보관하십시오. - 타 제품과의 혼용을 피하십시오. - 햇볕이 너무 강한 시간대에 살포를 피하십시오. - 개봉 후에는 가능한 모두 사용하십시오.,2010.04.15,"15,000원/1kg",*주성분의 종류 및 함량: Bacillus mojavensis 1.0×10^7 cfu/g,Bacillus mojavensis,제 충북 청주003-가-20301 호,043-212-2800,표시,비료등록,비료등록제품,충청북도 청주시 청원구 북이면 용계내추로 297-11
117,공시-2-4-102,지하부대케이엠(지하부대KM)(미생물),병해관리용,고려바이오㈜,124-86-37020,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,- 사용 전에 반드시 흔들어 사용하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 생균제로 보관 중 일부 발생되는 침전물은 흔들어 사용하시면 효과에는 지장이 없습니다. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉한 뒤 햇볕을 피하여 건조하고 서늘한 곳에 보관하십시오.,2011.07.15,"25,000원/2L","*주성분의 종류 및 함량: Bacillus amyloliquefaciens, Pseudomonas putida *책임보험정보: 대한상공회의소_202501-217","Bacillus amyloliquefaciens, Pseudomonas putida",없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
118,공시-2-4-103,올스탑(미생물),병해관리용,고려바이오㈜,124-86-37020,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,- 접촉성 제제이므로 잎 뒷면까지 골고루 잘 묻을 수 있도록 흠뻑 살포하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 보관 중 미생물의 침전 현상으로 층분리가 생길 수 있으므로 사용 전에 반드시 흔들어 사용하십시오. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉한 뒤 햇볕을 피하여 건조하고 서늘한 곳에 보관하십시오.,2011.07.15,"30,000원/500mL",*주성분의 종류 및 함량: Paenibacillus polymyxa *책임보험정보: 대한상공회의소_202501-217,Paenibacillus polymyxa,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
119,공시-2-4-104,팡가드(미생물),병해관리용,농업회사법인 투엠바이오㈜,135-86-52055,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,- 사용 전에 반드시 흔들어 사용하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 생균제로 보관 중 일부 발생되는 침전물은 흔들어 사용하시면 효과에는 지장이 없습니다. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2011.07.15,"10,000원/100mL, 33,000원/500mL, 57,500원/1L, 195,000원/5L, 390,000원/10L, 730,000원/20L",*주성분의 종류 및 함량: Bacillus velenzensis 1.0×10^6 cfu/mL *책임보험정보: 대한상공회의소_202501-060,Bacillus velenzensis,없음,031-647-3147,표시,,"적용대상 작물명 및 효과: 벼(깨씨무늬병, 잎도열병, 잎집무늬마름병, 흰잎마름병), 딸기(잿빛곰팡이병), 오이(흰가루병) / 무처리구 대비 50% 이상 방제",경기도 평택시 안중읍 학현길 35-20
120,공시-2-5-133,총채지옥(미생물),충해관리용,㈜고려바이오연구소,159-88-00431,2025.07.15 ~ 2028.07.14,강원대학교 산학협력단,- 밭 전체에 고르게 살포하십시오. - 제품에 곰팡이가 피거나 내용물이 덩어리지는 경우가 있으나 변질된 것은 아니오니 개의치 마시고 사용하십시오. - 운송 중 내용물이 분쇄될 수 있으니 주의하시기 바랍니다. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2011.07.15,"25,000원/2.5kg",*주성분의 종류 및 함량: Beauveria bassiana 1.0×10^7 cfu/g,Beauveria bassiana,없음,033-264-5678,표시,,적용대상 작물명 및 효과: 고추(꽃노랑총채벌레) / 무처리구 대비 50% 이상 방제,강원특별자치도 춘천시 퇴계농공로 79 (퇴계동)
131,공시-3-2-163(공시-1-2-049),효소원(미생물+해조추출물),작물생육용,㈜누림,221-81-31884,2023.12.27 ~ 2026.12.26,국립순천대학교 산학협력단,"○ 사용 전에 충분히 흔들어서 사용해 주십시오. ○ 개봉한 제품은 가급적 빨리 사용하시고, 사용 후 남은 것은 뚜껑을 꼭 닫아 건?냉암소에 보관하십시오 ○ 강알칼리성제제와 석회보르도액 및 유황합제와는 혼용을 삼가십시오 ○ 타농자재와 혼용 시 소량 일부 살포 후 이상이 없을 때 사용하여 주십시오",2011.12.27,"18,000원/500ml",주성분:미생물(Bacillus subtilis),Bacillus subtilis,-,033-251-2511,미표시,없음,,강원특별자치도 춘천시 동내면 거두단지1길 29
136,공시-3-4-009,코마에이치액제(미생물제제),병해관리용,㈜남보,613-81-33010,2024.02.26 ~ 2027.02.25,국립순천대학교 산학협력단,○ 농약 혼용 시 일부지역에 사용한 후 약해유무를 확인하고 사용한다. ○ 조직이 충분하게 젖을 수 있도록 흠뻑 살포한다. ○ 이른 아침이나 오후 늦게 살포하여야 효과적이며 햇빛이 너무 강한 시기는 피한다. ○ 사용한 후 남은 것은 냉암소에 보관한다.,2011.12.27,"7,000원/100mL, 13,000원/300mL, 22,000원/500mL, 38,000원/1L",대표성분: Bacillus licheniformis 1.0*10^6cfu/ml 이상,Bacillus licheniformis,-,055-762-6867,표시,,벼(잎도열병),경상남도 진주시 문산읍 월아산로950번길 25-21
138,공시-2-5-066,참선충(미생물),충해관리용,㈜에코윈,503-81-81554,2023.12.27 ~ 2026.12.26,강원대학교 산학협력단,"- 미생물 배양액을 주원료로 하기 때문에 침전이나 층 분리가 일어 날 수 있으나 제품에는 이상이 있는 것이 아니므로 반드시 흔들어 사용하십시오. - 보관 시 직사광선을 피하고, 서늘한 그늘에 보관하십시오. - 고온기, 어린묘, 초세가 약할 때, 가뭄일 때 이상기후가 지속될 때는 희석배수를 늘려 사용하십시오. - 어린이의 손이 닿지 않는 곳에 보관하시고 절대 음용하지 마십시오.",2011.12.27,"40,000원/1L, 75,000원/2L",*주성분의 종류 및 함량: Photorhabdus temperata *책임보험정보: 대한상공회의소_201501-014,Photorhabdus temperata,없음,053-582-0321,미표시,없음,,대구광역시 달성군 유가읍 테크노중앙대로2길 18
160,공시-3-3-068,폭신폭신(토양미생물제제),토양개량 및 작물생육용,㈜한국바이오케미칼,608-81-39104,2024.10.11 ~ 2027.10.10,국립순천대학교 산학협력단,○ 직사광선을 피하여 건조하고 서늘한 곳에 보관하십시오. ○ 토양개량및작물생육용 용도로 만들어진 제품이오니 가축 및 애완동물이 먹지 않도록 주의하여 주십시오.,2012.10.11,"22,000원/5kg",Bacillus subtilis 1.0ｘ10^6 CFU/g 이상,Bacillus subtilis,제 경남 진주036-가-20201호,055-763-0241,미표시,비료등록,토양미생물제제 비료등록제품,경상남도 진주시 문산읍 월아산로950번길 14-20
174,공시-3-5-061(공시-1-5-027),나방잡아(미생물),충해관리용,㈜누림,221-81-31884,2025.01.10 ~ 2028.01.09,국립순천대학교 산학협력단,"1. 사용전에 충분히 흔들어서 사용해 주십시오 2. 원액살포 전용이므로 엽면살포 하지 마십시오 3. 어린이손에 닿지 않게 하시고 사용후 남은 것은 뚜껑을 꼭 당아 건냉암소에 보관 4. 타농자재와 혼용시 소량 일부 살포후 이상이 없을때 사용 5. 강산, 강알카리성 농약과는 혼용을 피하여 주십시오",2009.01.15,"20,000원/500ml",주성분:미생물(Bacillus thuringiensis),Bacillus thuringiensis,-,033-251-2511,미표시,없음,,강원특별자치도 춘천시 동내면 거두단지1길 29
198,공시-2-3-268,토토빔(토양미생물제제),토양개량 및 작물생육용,㈜씨엠씨코리아,314-86-08225,2025.03.25 ~ 2028.03.24,강원대학교 산학협력단,- 천연 소재이므로 서늘한 곳에 보관하십시오. - 어린이 손에 닿지 않게 보관하시고 절대 음용하지 마십시오.,2013.03.25,"8,000원/500g, 25,000원/5kg, 40,000원/10kg",*주성분의 종류 및 함량: Bacillus megaterium 1.0×10^6 cfu/g *책임보험정보: 삼성화재해상보험㈜_82407734958000,Bacillus megaterium,제 대전 유성061-가-20301 호,042-671-3378~9,미표시,없음,,대전광역시 유성구 국제과학7로 6 (신동)
200,공시-2-4-099,트리아눔-피(P)(미생물),병해관리용,코퍼트㈜,126-86-03036,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"- 4~10℃ 냉장 보관 - 사용 시 보안경, 마스크(P3필터 장착), 고무장갑 등을 착용하고 눈에 들어가지 않도록 주의하여 주십시오. - 관주 시 필요한 물의 양에서 제품을 첨가하여 주십시오. - 트리아눔-피(P)의 포자가 가라앉을 수 있으므로 잘 섞어주십시오. - 개봉 후 남은 제품은 빠른 시일 내에 사용하여 주십시오. - 버섯류에 사용하지 마십시오.",2013.04.15,"220,000원/500g, 1,650,000원/5kg",*주성분의 종류 및 함량: Trichoderma harzianum,Trichoderma harzianum,없음,031-795-2692,미표시,없음,,경기도 광주시 초월읍 산수로645번길 48-3
